DISTRITO,PERIODO,UBIGEO,REG_NAT,POB_URBANA,QRESIDUOS_MUN,SUMA_TOTAL_DISTRITO
ATE,2021,150103,COSTA,687615,247394.05,247394.05
ATE,2020,150103,COSTA,670818,241350.73,488744.78
ATE,2019,150103,COSTA,652900,234904.09,723648.87
ATE,2018,150103,COSTA,640087,207598.38,931247.25
ATE,2017,150103,COSTA,661786,14705.5,945952.75
ATE,2016,150103,COSTA,645803,209452.36,1155405.1099999999
ATE,2015,150103,COSTA,630086,216839.6,1372244.71
ATE,2014,150103,COSTA,611082,182500.0,1554744.71
CALLAO,2021,70101,COSTA,520709,200919.29,200919.29
CALLAO,2020,70101,COSTA,512386,141601.53,342520.82
CALLAO,2019,70101,COSTA,503234,139072.31,481593.13
CALLAO,2018,70101,COSTA,485665,146879.08,628472.21
CALLAO,2017,70101,COSTA,406686,188.36,628660.57
CALLAO,2016,70101,COSTA,406760,124285.11,752945.6799999999
CALLAO,2015,70101,COSTA,406889,150636.12,903581.8
CALLAO,2014,70101,COSTA,410640,178745.71,1082327.51
COMAS,2021,120206,SIERRA,782,179.41,179.41
COMAS,2021,150110,COSTA,581036,236315.64,236495.05000000002
COMAS,2020,120206,SIERRA,853,194.28,236689.33000000002
COMAS,2020,150110,COSTA,573884,155604.55,392293.88
COMAS,2019,120206,SIERRA,930,212.24,392506.12
COMAS,2019,150110,COSTA,566314,153552.0,546058.12
COMAS,2018,120206,SIERRA,998,218.57,546276.69
COMAS,2018,150110,COSTA,559866,167859.69,714136.38
COMAS,2017,120206,SIERRA,748,85.47,714221.85
COMAS,2017,150110,COSTA,537263,12406.33,726628.18
COMAS,2016,120206,SIERRA,762,170.06,726798.24
COMAS,2016,150110,COSTA,531027,159213.27,886011.51
COMAS,2015,120206,SIERRA,776,173.12,886184.63
COMAS,2015,150110,COSTA,524894,160063.0,1046247.63
COMAS,2014,120206,SIERRA,805,188.59,1046436.22
COMAS,2014,150110,COSTA,522760,157763.0,1204199.22
LOS OLIVOS,2021,150117,COSTA,355528,124206.25,124206.25
LOS OLIVOS,2020,150117,COSTA,351983,124803.12,249009.37
LOS OLIVOS,2019,150117,COSTA,349100,123780.89,372790.26
LOS OLIVOS,2018,150117,COSTA,346064,117291.06,490081.32
LOS OLIVOS,2017,150117,COSTA,384711,14070.85,504152.17
LOS OLIVOS,2016,150117,COSTA,377915,145821.2,649973.37
LOS OLIVOS,2015,150117,COSTA,371229,143241.36,793214.73
LOS OLIVOS,2014,150117,COSTA,365921,103730.0,896944.73
SAN JUAN DE LURIGANCHO,2021,150132,COSTA,1203125,382679.69,382679.69
SAN JUAN DE LURIGANCHO,2020,150132,COSTA,1177629,380710.63,763390.3200000001
SAN JUAN DE LURIGANCHO,2019,150132,COSTA,1152258,372508.55,1135898.87
SAN JUAN DE LURIGANCHO,2018,150132,COSTA,1136931,351547.07,1487445.94
SAN JUAN DE LURIGANCHO,2017,150132,COSTA,1138453,18286.37,1505732.31
SAN JUAN DE LURIGANCHO,2016,150132,COSTA,1114686,310957.58,1816689.8900000001
SAN JUAN DE LURIGANCHO,2015,150132,COSTA,1091303,307279.74,2123969.63
SAN JUAN DE LURIGANCHO,2014,150132,COSTA,1069566,259820.0,2383789.63
SAN JUAN DE MIRAFLORES,2021,150133,COSTA,417800,139425.83,139425.83
SAN JUAN DE MIRAFLORES,2020,150133,COSTA,412865,124862.17,264288.0
SAN JUAN DE MIRAFLORES,2019,150133,COSTA,408538,123553.56,387841.56
SAN JUAN DE MIRAFLORES,2018,150133,COSTA,404577,120878.94,508720.5
SAN JUAN DE MIRAFLORES,2017,150133,COSTA,415870,352017.8,860738.3
SAN JUAN DE MIRAFLORES,2016,150133,COSTA,409886,123961.24,984699.54
SAN JUAN DE MIRAFLORES,2015,150133,COSTA,404001,122181.45,1106880.99
SAN JUAN DE MIRAFLORES,2014,150133,COSTA,400630,99044.0,1205924.99
SAN MARTIN DE PORRES,2021,150135,COSTA,758216,316284.39,316284.39
SAN MARTIN DE PORRES,2020,150135,COSTA,744050,318134.52,634418.91
SAN MARTIN DE PORRES,2019,150135,COSTA,729268,311814.16,946233.0700000001
SAN MARTIN DE PORRES,2018,150135,COSTA,717910,228721.08,1174954.15
SAN MARTIN DE PORRES,2017,150135,COSTA,729974,16887.71,1191841.86
SAN MARTIN DE PORRES,2016,150135,COSTA,714952,227778.6,1419620.46
SAN MARTIN DE PORRES,2015,150135,COSTA,700177,208102.61,1627723.07
SAN MARTIN DE PORRES,2014,150135,COSTA,686702,161773.0,1789496.07
SANTIAGO DE SURCO,2021,150140,COSTA,414142,140364.56,140364.56
SANTIAGO DE SURCO,2020,150140,COSTA,408086,134056.25,274420.81
SANTIAGO DE SURCO,2019,150140,COSTA,397082,130441.44,404862.25
SANTIAGO DE SURCO,2018,150140,COSTA,388748,129325.26,534187.51
SANTIAGO DE SURCO,2017,150140,COSTA,357577,5162.66,539350.17
SANTIAGO DE SURCO,2016,150140,COSTA,350855,116719.43,656069.6
SANTIAGO DE SURCO,2015,150140,COSTA,344242,122058.38,778127.98
SANTIAGO DE SURCO,2014,150140,COSTA,338509,152107.0,930234.98
VILLA EL SALVADOR,2021,150142,COSTA,428276,149621.28,149621.28
VILLA EL SALVADOR,2020,150142,COSTA,423887,148087.95,297709.23
VILLA EL SALVADOR,2019,150142,COSTA,420278,146827.12,444536.35
VILLA EL SALVADOR,2018,150142,COSTA,416766,99964.22,544500.5700000001
VILLA EL SALVADOR,2017,150142,COSTA,482027,31003.15,575503.72
VILLA EL SALVADOR,2016,150142,COSTA,472442,155689.89,731193.61
VILLA EL SALVADOR,2015,150142,COSTA,463014,152100.1,883293.71
VILLA EL SALVADOR,2014,150142,COSTA,454114,110918.0,994211.71
VILLA MARIA DEL TRIUNFO,2021,150143,COSTA,443687,164259.27,164259.27
VILLA MARIA DEL TRIUNFO,2020,150143,COSTA,437992,159867.08,324126.35
VILLA MARIA DEL TRIUNFO,2019,150143,COSTA,432835,157984.78,482111.13
VILLA MARIA DEL TRIUNFO,2018,150143,COSTA,428297,149628.58,631739.71
VILLA MARIA DEL TRIUNFO,2017,150143,COSTA,465735,115617.62,747357.33
VILLA MARIA DEL TRIUNFO,2016,150143,COSTA,457069,183513.2,930870.53
VILLA MARIA DEL TRIUNFO,2015,150143,COSTA,448545,140330.51,1071201.04
VILLA MARIA DEL TRIUNFO,2014,150143,COSTA,441239,94100.0,1165301.04
